txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
FZ5zSc8N4WyN7beKWPckMajE3GkA2ghurBHwZpuF2EgapceR4LUWqUhuJrBs4bHUk2T4ABkJS73oVAn9myPJutT,1680161766,dec,-51.259725,11499.660451,11448.400726
5QRTAG2iGeu6SK9vq6Gyzgza2Bf1R8TSxWPgYPVLXmpBvmP1qF1BtbmBMnDJmA5AX8eUJK6hqzw5MqJJUj7CzF8c,1680160944,dec,-160.251273,11659.911724,11499.660451
5aPW9hzNYxgtC7VnT2kRDuFDa35n4LUu62FtkKGVPNSMRQEHxtAg5gmYLrtXjv3WG4Njxifc4A98tXsUAFrVBoGs,1680160901,dec,-72.613791,11732.525515,11659.911724
4LYkDTNU2kJ7UKYnXwZUhBsdoBCpXAxHAdcgNojbwjFpdYEB2SGUT8sfJHMvcrRLdpw3y2iqn1kRVRV8axxSyxwV,1680159806,dec,-128.351489,11860.877004,11732.525515
5VJvn8c2dntAiknvLgUbDELPnJ3TddNf5uZkKW6eX4HGu3qupWKXeHQzJyKfzWtZrc47qwSqX6jTMkXVhiPYCpfa,1680159760,dec,-13.550803,11874.427807,11860.877004
4fj7S9mRexnCSWoKE5nqDP8TYXCH36UJXjUu7vcwkKPzJUsnK6AaXgHHPkHjeFZVp1h1S9Z18ZtnBe3GXf9UUSV,1680159741,dec,-32.312648,11906.740455,11874.427807
23nEL5kzvu9nM5KhpCtWaSAXQ8DhWuC1QLr7LnAZJe2d9nkq1B64c8uaxRw5X5sYiWAnYoQxn58JmzcmUQr3LKM4,1680159736,dec,-1.925421,11908.665876,11906.740455
5Hxy3SFeE45uBNULERXjHi6tgaFpghtAGAtFhtNeGTbJSUzUVfZiRX4ezMqfCY4tdkc77BBmcCERp64GS3a883jF,1680146276,dec,-167.871603,12076.537479,11908.665876
5cuDXBAmAEaXUK3USEyevsu9saeojTpSdLwsfL1ePTFhaREe5p1Y5A5NiFxYvjbkPjbTtqVQgQadvfMrADdH4DJD,1680137315,inc,11964.326813,112.210666,12076.537479
2s3vM6JacVcgms563SP8ogcYaMsDSkcJhqdG5UJgFPaynnH39iGvjPqVKvQcfjwq7mZPH46nf1T9v3qssR5pbRbq,1680137113,dec,112.210584,0.000082,112.210666
5mrm5bC1ygjxYKQwdXyiUgrZZeUp4xx6cFZUiLRMk19osfAw5UaujCTHE56hBpEkp3GPhKhmwrvKQcF99Z7Yc1T3,1680136889,inc,-2.801045,2.801127,0.000082
iDqWM37NNRHmPdAMf6bydgMUCnRrNUn69fZ314m38WniR1L3k14bz58NRjHnfasq21vgQeMkBnYdPJtDn6mvCPX,1680132245,dec,-0.180232,2.981359,2.801127
5TU4ukTsuVFaiozLLL9EYSv3CXKrYjP7v7AVQHXmsoT973sAdWjqGy4211CSXdrBFUKmajZZvgxTzziEritWnRUN,1680130079,dec,-0.129241,3.1106,2.981359
5Vowtnvcqr3guvTrJNfxjhdLjbBac2kc9CE5F1Pa6xv2NK6VLM4DBGTzpFTjXCVVYCLmqmzVvFoa6aFfXUQferbh,1680129975,inc,0.85,2.2606,3.1106
53QTJWauD9fssi6LP46eN3cLFo5VoFmbvPzejezbi56EMpWbvXXkkGijE2agX4yqCJGirmQKcHgy2qLh8osigFPm,1680129886,inc,0.01,2.2506,2.2606
3VtvUMBshZ5JZ9UrYLn2eBS71ShRZYtdNhqaBCZ3v1HDWerngz2Uy98Pe3VHL1vyBBA8hPyopmsrFB3md2qa2MWn,1680129778,dec,-0.158655,2.409255,2.2506
5R2UcZxQxFCRyec1kfvvsEVr4PEMQ3g34mVpbEQzfvmetCHNv5LTfHDSvQLEgeeJbCcWhis2oxCERKgjaXCjBKsS,1680129679,dec,-0.319243,2.728498,2.409255
2HhtyyUmaFCoEdrVdGVJARvMGdVkdk1Rwj4oNsrVhgLFqeUx4kqdXobGvPih6sYUVrVGcuEF1UJf4GRmTA76vfh8,1680129485,dec,-0.000641,2.729139,2.728498
35w1d25MUASTHetp4U6x5j9YeV1jJKsdmhAwB1cANuP7YaqdzwGHHfNsHdkF7nqTxw5ZMDZD9DQAABbbgBKmoaK,1680129446,inc,2.729137,0.000002,2.729139
37gzrjQ74x1GjyiQ4JoEpXaUPnUr3EXnUSSPibaXEP18KumEm8FGmAmqTBTVPg9eowbDqzjr6y54QVBCW2xWLP1,1680127979,dec,-26374.238636,26374.238638,0.000002
5ju2zW8qT12vNWDJJmNjzdUYYReRwauUapnaSnXXc79vMJBvsZ222yMvNtxTKV4uNmfDhBguYfonTBENDS9AeECP,1680127433,dec,25384.018055,990.220583,26374.238638
4r43Zt8fm8JGtjXT9zdrL3qxYjAXGpQj88oPtPz1WcvZS4AvHeZgrwCNAPZ45YRYSeSCeLGAYqF23nCTiMnDkG9C,1680124854,inc,985.221675,4.998908,990.220583
2BKtPVVqUFZ5vm8cWUXEc1yCLWczMxXnATip8xj584wkgb6rM4bYFhfs58pfSXpGToqYRYm9FytVzPbUhwmZmg1,1679926242,inc,4.998908,0,4.998908
5LQa9Gq1QrRAmoq8Qbf1jW8AP7j71RbbRWFtnMDMJLDxm87o1rBRQBHnESCKSVCWF1yDdr78u8qJj98Duniz9HEb,1679926231,inc,0,0,0
