txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
3WS5XVEEtQ555Foa34U8EUv3DGeeqHKDgXN1CdTLsRPCJPkpDieApTvAEzPF3niiVF6jRGGm3RAtBmoMgf6SkQFt,1680145175,inc,3.709869,47272.806062,47276.515931
5sTyxoae3PHNk9tHaxALNi9vAsMubq3j7hW23zjShq9H3NegYfLEUtPoFbGtNxM1cbesXxDRZm7VC8gews8SEWRC,1680144556,dec,-20000,67272.806062,47272.806062
51S8Ad6wEtwS6tKiE8zM96ncKgyv4pFCmkwByjgGKJYLwnUBYENR8BqBi3S5AoTpHCXnZk7f4WojGi6oakSr5UfD,1680140473,dec,-100,67372.806062,67272.806062
5ykzPqcfF1ySH7VHMxF3Gc9B4jw9xYJ19F9JgzkbMVK5LbyoScotbx843sp5eZoeJrr9iYF1aJ8m5fm1Xvy7Pskk,1680137717,inc,2973.231837,64399.574225,67372.806062
28iGcY298X7MKRVG3JtN6n125qvMvBNeBfoJvTwTvN2w3M3pVaNSZx2tbr3Wd2MRwW5SKMFwwHgXd8dt7JB6iybz,1680137518,dec,-13000,77399.574225,64399.574225
5CNbZjPtJrFZP1ZwAkpSi4Ldd5m8fxYEryM1ne5BZ5KuQVUKhy9xXwfvaHUwdiyb5ttDrmMcrMCfMzqyFX2udn49,1680137253,dec,-15000,92399.574225,77399.574225
4VvVeehDepqqnVUSHGtZRZoXs6eahEVtJ2vxEXpW5jxrWDukvMMiWMgKN2qCEu5mvpG41PLJdM4sMZ34nvc4tmgx,1680135346,dec,-100,92499.574225,92399.574225
4x11JNRY73dGhbnLck8RdquKzFQuAkXbidtWvF6tnoMbSEDspzk8sbNzQayyJCBrc1D1A4xs8ZX4Qu2T9U8V5rRq,1680132573,inc,13529.574228,78969.999997,92499.574225
ejdp8xJhvRNeRV1Se8A7S3v5UwsTaHjqZvXenza2wsJP7Rnu53Z2Dzm2YXnB6uCH8uF8WvoLKYmkNDtcP8Ka96e,1680131600,inc,-26000,104969.999997,78969.999997
4JbvvumC9yGsbkFQciZumPjHsngdx7FJftT4VuP7ud2UuTENegXesJkS76czBBnMvmsKW3WJ1P3rxQkoZ44eqd3E,1680129254,dec,-50,105019.999997,104969.999997
3qw7EeNbT77qvgJwkKEBs5zRWxpWxDZPxnbjq3AuCa54rfsvq69gPjgaYFXMrd1qyydqBrjbb7XREGkahSrGzzQW,1680128111,dec,26759.925014,78260.074983,105019.999997
2NJfQ6CD1GQYNRLooJHbYdzApeNoezkjKoyrQRntjwcnpR1QZ8m47s96n211zZtXAsYjnBT64Mw6XkxFijCYPsD8,1680125251,inc,-25750,104010.074983,78260.074983
2xpVSGj5HBx8BgL7W442NKMroefNbHGW6WyWU7UraCvFBcrprgNViLsShYzfYgfZNY9S5U4CFXdEHKiJWg1CjCE4,1680123915,dec,-1000,105010.074983,104010.074983
3eYNXWrbRcWKTzikJdVuvwduR8V3W3baSViK57nKJHBijfocvck77uePnPiTvQdNST815pd22xxYCBNjnw21heE8,1680123809,dec,100000,5010.074983,105010.074983
3STgWg7dDq5asc5iVCTW73RPW89AX4eBM8RWfd7ddZwScUBEQe1UsC5DRzWoiwnFKT7TZSnt2BuDafg9zyVTwyYC,1680123743,inc,5000,10.074983,5010.074983
5aXEaY21WU1Mtir3BrMPTg5JFp9abhbEmh26FMBLBX2jWyJWbjqRBPkHzpNkdVCG5e4GjopbXrU8grGaFdCVKVCn,1680123479,dec,10,0.074983,10.074983
53JhA51MraR4dYMFJD84Vzavq3Ea97gfePbQGP4YqQRXha9CpTNQGw3nege4J2zR1xZwRAHhqWnGYr2bxTvNJ5k,1680114373,inc,0.074983,0,0.074983
2DjF49eHcF77HLKbgLpc5w12NAYFdYJdK8XfPW8tpFbZMohnSCcfMqGr24XUAspYCy6h3M1wkTyZuH6PVbgCtNxL,1679925151,dec,-5.073891,5.073891,0
52FZ2grPVY7DgxMCxBnRHqEupCHa9py9gxCYQdnGdiq6RUEXAG4NAYe6j8Ye4DwEkP5sQPrhoB8TTkjDb3x2cwA2,1679862556,inc,4.926108,0.147783,5.073891
3FH5L8UUW7Zw8u8u3AQmzX4k14XBiFtbpRq42RkgZZTkVeBGExG51EEZYarGQNDS2JKjYQoFigrLuvrFU1D59Xro,1679861198,inc,-9.852217,10,0.147783
5m3PCX1Ed514jLbEdv3CGEigLDrFcjf4QifSkdvD4wHTbNekMx9m53kxgvc8fNc9cgK9YAxxVaQFPeGwbkPy7UwD,1679854593,inc,10,0,10
