txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
5YJJx3QZCxLHa6DCAw7kPooyiDiWqMbS8PSP9v3SgWeuKA88akpS76eL6nupjjivbe5NwEQfjo4n5m6wHb3J7c2e,1680165344,inc,0.004805,0.195843,0.200648
4Co1FBLhuUDvb2vJ4Z1z6YtBz6z9eMQmJ3t54G1DYTAMNqJLCJH4wDFVFFjXHT491pZFrnqp49tzJ4qxzL4hG1vC,1680165293,inc,0.000012,0.195831,0.195843
3QNC5ALx7MANa7dpWiKQoxvtZxL8xPCMSUHyQmjEmHZrEnW3WApHDPLQk1CsN2msk5NP1W7Q4dA5E32iihHiwXwQ,1680165280,inc,0.009946,0.179016,0.188962
2ciDAamnqbKrpuR5JnHtrV2x5S1qWUa3MWddFZxEAnRwPicjb1Wdv7iNzUTWQ3RR8WxmmnHbkZEn3LFJ1yPmuYPK,1680165280,inc,0.005595,0.188962,0.194557
FEUk8dp2xFqJ7eQMCyLxc1FBcAcAHs4fToZmaLVGG7jjNWkANsmCnnGXe7iMoaMxC6pFkmxygzW5g6xrFjiosqT,1680165280,inc,0.001274,0.194557,0.195831
3YUKRj5xEFyEEiZ5EcYKJgVqz9Sy3sQXjkvNiVMtrZ7RjnnSWUrtWRBpKLBbUVJHY6xxj7ChUfoPCL7vULzF1mPc,1680165248,inc,0.002771,0.176245,0.179016
5e7PDAgChEYr4DykMRH5VGucBmqfskpXWjNEd2hY7qxnJP1XBcBsPaVG6jXs4sxzPVYaE4VxbejahEdiMaDsM34C,1680165241,inc,0.003314,0.172931,0.176245
4SmNm2vVtJT8xb72Cj7knmhpwLULZEgmx7Ptqeiab15Fa4rsZ8KnEFZq2PZ9mwPPgUhD1ThihRctZNt7kyCovvEM,1680165236,inc,0.00093,0.171527,0.172457
AvBrT3nZQCdScPFRGeB8yDQKttaJaeDABvbs3ncef35CKcTwB2eHLLDJWUV3xBGHBDwC9SGcDJXcfVbnn9GZqWE,1680165236,inc,0.000474,0.172457,0.172931
3U5ekL8vpjw6RGp532hMa13hGKm9ee2H5F2EnMdgtn66BnnHBrcvSzKQLeDaHPnJNcskmGeMqpB66WXhU2GZj2vj,1680165190,inc,0.003782,0.167745,0.171527
45uAmzCnbdABbahNgRepP59ZAfX5LfJfEE8YbrjzuZuMPax51fcJGszeW7dRN8K4ywF3wAnsANqYMGHX9VWaQzKi,1680165177,inc,0.000424,0.167321,0.167745
43ZFnthUevjxcrGdg7m3B7UeNJMgcQ7vFtBPDqHbZPPrE9tFmfw1j9kc5u2Fsm54oQ8dTfbbR418U8kyFfJkL6xJ,1680164825,inc,0.00311,0.164211,0.167321
ntJn9hCf2o5LcjeLxNVnESo2jyaJiBneghJshZtThh2pEyNrDQ1UKHFoB8iJ5LRwwFLeVCbu5hFJe4HmVwFzrRj,1680164814,inc,0.003692,0.160519,0.164211
3b7WpnWLh2EmP6PR5eMomeQmArLTE5KYHrGEKBjheDkZzdi7mR3Xaqvm8UvBUAs4zidWFUovtHHCSwSmVxPY8ib6,1680164805,inc,0.005,0.154779,0.159779
2youz9RtYzAA2YK2mVhRLtmy5YGFzuPRYDL7j4UrXpvR1qasdBr9S7UUV19b1LibUC9ZiPyffLosYsBP4Hp2xyxq,1680164805,inc,0.00074,0.159779,0.160519
5u3vA3k5CQpUNP8znjQBWfB6wzAQy8w4DfbduHUKMWum21zNy31ACVW33BUCXo5zQwopU2fhKXtjPBUY3ehC9BeC,1680164777,inc,0.001917,0.152862,0.154779
3eGv1FRbWoPf6jHHLrWb4EVSbJ5V9FXRouqrZADRgYdFmA5FW39c4TQ2dqVuFrzNfSFm2qmFQb8zrBvCrLDagoWT,1680164661,inc,0.001033,0.151829,0.152862
4fkiF2FJFrvxut4XxCEDni4TyxQKqYe5dtGhmCmVq8Q3qz2scFk7iUFsrqHRae4ZEKmGGabn5uNGm4ggUArdNFEx,1680164651,inc,0.00146,0.150369,0.151829
45ECuB9yrxurtWE2j2yfqQybTRh9mj6RRarKzjtQcd62uYMLCfpgcrcoiHNGakC2p75u533YQBWDcZ9TfADc6yVW,1680164471,inc,0.004396,0.145973,0.150369
3Ta3ogo2T8HhBWQkGC5tKKaNoXyT6USztMUJ9T7kRmNbMUwFAKbyGihod7q6VX3oxDotGHKoAGhn6LnbGV9F4AXZ,1680164409,inc,0.003108,0.142865,0.145973
2UuLXfXjdQ8VNTGaLTYWCnBUVdVMQkc1EATbcRzDCmzhT1UDry1ueGShfH7Zyf197bZWe6hXC8kLaeZHiPaTs4aC,1680164396,inc,0.004064,0.138801,0.142865
4kYpBXuT7Wfp5uhtD3wGUntHyujQsQGmYKe7oj5QVca6FFj6hTcr7umjkVky7wYRbc9b6EV53MhrEvu4Awepuhvt,1680164357,inc,0.004476,0.134325,0.138801
2neExZftMTBXaDNPVkt1Hab892BCcpKZ1ZKhGqiUhGhfwtrQGwuHmu4dR1EGbNTt9Y23JtiUK4ELM32qhgvhUW2X,1680163827,inc,0.002841,0.131484,0.134325
jJVPkzpfSKCyUWfU72rjW1D1CsVgHppDVqYWfvLdrsyo97pUJ9zXsjhJTpcSWkujz2nptgGmnUaEeokkbQwSFZi,1680163823,inc,0.00367,0.127814,0.131484
4WpMdser68p2AU6PsQ3oScb9SXPe6zmGVYcNCFUgUDYcdm4mjqmbWoJ4P5Sr9y1NcZZkJQaW2WTsfvka3BBYnYkv,1680163820,inc,0.003606,0.124208,0.127814
L8QQRyTCxpykJftVTrfocJSFpYKp7N9JtoYXirau5UxFfg4M7u18iwwExY586NUytbxxTem97HDHsMvUmuUMK8Y,1680163748,inc,0.001996,0.122212,0.124208
62kFuwf5ZmSy1vhzWGPr2kP1R3kfnXhJHbUdY81nir3Wz5SUPkrmfwA3m1ZZtY6hwcma5y2nNBp4dZHexPb9Htey,1680163744,inc,0.00538,0.116832,0.122212
UgWw5RvTzBDbR5BARtdiKo2JLx4BiJMkdYZygSBADc3Zc25gd2Ch4X5BeQAhRaCxnLwaAfv8PDz2axmCwbmzD7U,1680163741,inc,0.002615,0.114217,0.116832
9dyUKUFnGja2AZ7gMFePrBJN4hSEVAis8MZ8EMeGC4MnXcWuyHxaMxseZAWWTAkorbKxVNQCjtJTUh2wM7qvsJU,1680163715,inc,0.002965,0.111252,0.114217
585xxvthCWkJ4fnKyS21q2Xg5BNfTZmVaf7kmemSUEGgXnYP7AQv2RxSHsoB5Exet44C5f7EEAng7ZnWWfDxsw47,1680162636,inc,0.004663,0.106589,0.111252
7Hs5PYsZXXtnJeNWLaA1QAox4rqomXuTbstxsJ3brKaF5ijGxtvM6YwmbvHkGb9f4rahPCv6ARjyn6uRLMZLyE6,1680162435,inc,0.004746,0.101843,0.106589
Q8exuMV67Ji3jfsPHmuCkqnDeF8hWGsQcvxjoyam7H5Ca9ZnPvFPeEXXuC76opaoegg4f1KHi8Qvikv5nJjLZA1,1680159961,inc,0.009996,0.079871,0.089867
2x8cZ87XRPZALLki8nLKuxpQD2BKa5cx9wu13MRjKzJkfh2JUwUQALhSF7TH1LM87Y3vFuLWKMFKaaGf7zM6qTXC,1680159961,inc,0.009601,0.089867,0.099468
NBHdpzoqZigmKc2cs3czXKWSw42PqDtcFLL9EH1utbeUpdpHmEi7cA9wEwCsNvppZjAwwKYTCiapnBFg95aw7Cq,1680159961,dec,0.002375,0.099468,0.101843
2t85YbxyRFWxUfRCP9gQLKb5kwRVw9twaBDsnHX8ja3jxyMpwnm1Q1h5is4fPMLMiURhqCbL9U2QjNBfWPNKTSdB,1680159863,inc,0.005719,0.074152,0.079871
5MrgAFbqVQ4kvqAatexWK1JoBoBZhTPK3McYyPjHiXXm7gJTi3JnifcbNo2uazLppkjpMQaWshieJX7JS31eyJ7s,1680159730,inc,0.000494,0.073658,0.074152
x2vEpNBK6CbfNcXkw7ggrz49STZN4mu9ze4DMCPxaVifaCRgjmFZJZoMFco38PoynUaWfU7dRsiETgbKrWCcxtp,1680159729,inc,0.004999,0.068659,0.073658
2tMn2KHVx21GQpjrEtTKS8XYwyxyTWHiJwAMSYYrn5nnnwfvcTfJN1UBjsSVbCLA4YBufwj2tDSFDLZPmAZwai3F,1680159713,inc,0.004934,0.063725,0.068659
4VWkLepvBvfFxwURqEjkqL6L3AVcjgLqevtUcnpifCjWaoSyEg46AJrFMWEQC6wAzFLzTEkrMsi2X5y2ikpkNmFH,1680159711,inc,0.003187,0.060538,0.063725
8LnC4rdaM1cizQ8zGoAWWaNqoN8pCoCCYXcVXJkzPLFhbjuBSf8hSYHEYxr8kMRZhPramXuQfe3iWLrpsAxWw4p,1680159708,inc,0.00685,0.053688,0.060538
585HFgaTBgBBDhUFiPCbSXjc52stzMFrLvvYVpw4BSXDTaJ7bLBvCQuLn7cCbACtZuo9meRFNhfhEdLrYodNGDd3,1680159697,inc,0.005648,0.047738,0.053386
CC8DWoBmcTT11oXzUhhC7uHijrreCkFcUSTkzRUdZUUPbGtqc3bE96tqUrxA6dSdMjobkFrj81d1aYCVQySLTmU,1680159697,inc,0.000302,0.053386,0.053688
3q1X8AK1PSQ4ioMm95YwrTHFm9AuNWW573kZAneS6iBUQTUGM8Cwze3hpRSr19pocA1w5ViRrzdfjD65sRccQss7,1680159696,inc,0.009969,0.037769,0.047738
45Dc56nNyYATpRVJGsnvdSUihfnVEPTtWW2wHjiF1pqAXc8EKAKcnoP1SqvPWGTEenJweb8jZWUC5QAJsSFafMKh,1680159613,inc,0.000135,0.037634,0.037769
4gWGZUdVbQvyNncgK3WrnB6o8HrhFmUd9o7BpwYQJNXonwYDviemaiSUhvyLWLjQexfYTEq4Xg9xHi455RasRXi1,1680159608,inc,0.000479,0.037155,0.037634
55DVdHvLWuZkz9yb7TgsfawZi1NJXjYMfRXWHXS2WPsthXzy8FMAbW6oSh5CLm6GLnAob7y6W3ACpNZhpruKQZM3,1680159607,inc,0.004664,0.032491,0.037155
45dQncuZXAuB7pjacvy4VuJU6AfiEucrg7em8sydGy7brffPBq3EsicpHJG8xcJpaTkZeVk27zLEJePb3wwz57N4,1680158991,inc,0.003342,0.029149,0.032491
