txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
2TJ5YuUjXCjAXbKA7RMU1rFuabzGDRJCyKw8WFhQJSN5Wa2b2bU9bLHPtiuVt14qhWg7zxthz3jjtwqWUkEwJrpU,1680185398,dec,-16.033457,12284.68461,12268.651153
2oSdqzMXBeMiAEKBdzQdVPwyJr2hcYKsDch6jQ31pBAYuZEQUz3wNTAyGEET5xDJEW4kQfZ19heyiVWN28bFoEou,1680185397,inc,205.23,12079.45461,12284.68461
4r7cDMLv42LAApmaHREB54SxDuL8otQWCsXq41vKsSWdVw7FKYoWgbfjyM6ZRbA2TZ8YgJuEmGGB5kQxrPxtYbDc,1680174400,inc,16.01,12063.44461,12079.45461
5rrK1YMgai3W8BfSVewRYw2SLtnw4XTtmcFi2zs7xiZ8jRKKZx263wzRGAqUwU6N4tk6tqXFqBk4w5zTFvnML36E,1680174399,inc,581.14,11482.30461,12063.44461
3H4kNiwBen2trZPRAiSYFqwFp7nUVZeQv38MQnEsdyhF5NstTuz5N16yFaebyjqwnHQ7BMPtfoUvtFVd3R791ARF,1680174345,dec,-773.521258,12256.378303,11482.857045
VRtTybQp1rGH6PBbh3j73fytyd8n6EqvuYqGkmJSMkR7kidTwQQs7qZyL8H2ZoXQmCFqUbsfp7z5ZnPoWJzaoNp,1680174345,dec,-0.552435,11482.857045,11482.30461
3yfd94qrdkA6wJXkrTAgV3v758mKJc1e3eabVbBomDCKoPztmMwtaadnzFXNTBJSCUyhFn88pCHncwehjwBMwac6,1680173094,dec,-41.030325,12297.408628,12256.378303
49AKxHLrriM8c4Lbdv5KCbJvQWv7RMz8ccAgTGKySnMbHiBfCfmwRzC8gs7yga57TxU4dZp2qp7hAYqLfA3ro44j,1680173015,dec,-32.073871,12329.482499,12297.408628
JLqNWvbM9v4kukKD2fGnEUZ4YERebuURp8gJ1mfGKDGvHzb4NtojQ9hpnuNULWBnH6pgMjMoxEspfYbHyxCCysD,1680165559,inc,0.642192,12328.840307,12329.482499
2JhxBs8GCtmEQKeinRueJftPr5zXuuYsSwDKohzfQXVK4Bqfh2zUW8egGL4g5VbXJy811Bz1FnaXyp1D5avb8Sz8,1680165409,inc,1.927907,12326.9124,12328.840307
b1y4vkMXSnUXf4u82uPF2imgNQ9yjrBM2B9PbkNgMnRmQhFSEkFoKdDzubFku3V3FzB4nN8TuN13PnHmcHCewUU,1680165364,dec,-48.523559,12324.103143,12275.579584
3dvP5v64dHvm2hX4rATahpPMwicB8wRRdq2Gi2zAje3QTc2zWoqGcXYyv7seW9zPZdyHQZmK1aEycBivTuqom7Bp,1680165364,inc,51.332816,12275.579584,12326.9124
pThk9rrYPx7ath8oRbGy8DmvPgUC69ZzPhiKiAwA7D72tZoxXLT9wQQnHyzmKz9GK6F66xm3ui1UbhPVhUrmRps,1680165234,dec,-13.416124,12337.519267,12324.103143
