txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
2ZSid9iUuBSkWa6pecBT95srZC1yDtajZSCuayvc9Z5vn2u3kMMZZWWsBXzMFR2vSHRHUKhVTHcMheuEcn6aqeLU,1680185398,dec,-32.06,65233.01,65200.95
2eLHLxLY1HmN5EQdMhTfBN6RAdhDMbQayJFah7bv42STDyST7QPzCYubaAT1wsCpA43LeFfvbXViBpSoPviQYDKN,1680185397,dec,-251.07,65904.16,65653.09
3koZuHc8WSHorG8N8k1MBWwQ9orqshsQ54dDYDee4o9UnVMHwir1Yqda2ZQfDPhJUEgaBtGieXemvvNcezC4urH,1680185397,dec,-214.85,65653.09,65438.24
2oSdqzMXBeMiAEKBdzQdVPwyJr2hcYKsDch6jQ31pBAYuZEQUz3wNTAyGEET5xDJEW4kQfZ19heyiVWN28bFoEou,1680185397,dec,-205.23,65438.24,65233.01
4r7cDMLv42LAApmaHREB54SxDuL8otQWCsXq41vKsSWdVw7FKYoWgbfjyM6ZRbA2TZ8YgJuEmGGB5kQxrPxtYbDc,1680174400,dec,-16.01,65920.17,65904.16
5rrK1YMgai3W8BfSVewRYw2SLtnw4XTtmcFi2zs7xiZ8jRKKZx263wzRGAqUwU6N4tk6tqXFqBk4w5zTFvnML36E,1680174399,dec,-581.14,66501.31,65920.17
5RyEaF4Qb3wPQDvAcyt2AbiAgo8B3Ad37QtuhApqSFFj1xH3oJzaGSq2sN4AX96QpRfro3YeyuP238dLWwKTrtBQ,1680174398,dec,-2820.25,70873.63,68053.38
3EeLq7QXx2gyZehufN1uMQeLRKgEXpBJpbcZKACc5vVXErQFFNtHLZiNbuxC3VrPC3XE1dF5cJQ5LzSRXedW6pJu,1680174398,dec,-1552.07,68053.38,66501.31
4TWk9tP1iAJabHEntBiuFtUVLGaygaAta3yeMS1mdpQX4YhiXfLuSbMP4Q1gYtsp7SP8a67Sv2AEksgpn9xkaNUw,1680174345,inc,3214.33,63785.47,66999.8
49aiqxXTNXPJHuzEAmDXxkemS7K74mNYcVPNzPpdG2FDFAvFeJj9mWSKK9Xem4vzVSoewA8UXV8YpJn7nDvV1T5X,1680174345,inc,2073.34,66999.8,69073.14
3H4kNiwBen2trZPRAiSYFqwFp7nUVZeQv38MQnEsdyhF5NstTuz5N16yFaebyjqwnHQ7BMPtfoUvtFVd3R791ARF,1680174345,inc,773.52,69073.14,69846.66
VRtTybQp1rGH6PBbh3j73fytyd8n6EqvuYqGkmJSMkR7kidTwQQs7qZyL8H2ZoXQmCFqUbsfp7z5ZnPoWJzaoNp,1680174345,inc,0.55,69846.66,69847.21
2Tr6oEyuV8B1K28Nqv8xeLYCgzRgZu5A5cHipZJWoaMHfisuJdYpik7Zt9qQx7cnkH1TrhRHHkJvUC3LrTJc7dQ2,1680174345,inc,1026.42,69847.21,70873.63
3yfd94qrdkA6wJXkrTAgV3v758mKJc1e3eabVbBomDCKoPztmMwtaadnzFXNTBJSCUyhFn88pCHncwehjwBMwac6,1680173094,inc,41.03,63744.44,63785.47
49AKxHLrriM8c4Lbdv5KCbJvQWv7RMz8ccAgTGKySnMbHiBfCfmwRzC8gs7yga57TxU4dZp2qp7hAYqLfA3ro44j,1680173015,inc,32.07,63712.37,63744.44
4u94f5rvoGLP139Jt9sAUEHcVY6YwAt1mYsipC1FSobdU3CZNNB7h6zTr3qdtc2ptjDBMSUT9mUtmD1SejbwZJm8,1680172144,inc,2133.67,61578.7,63712.37
5YJJx3QZCxLHa6DCAw7kPooyiDiWqMbS8PSP9v3SgWeuKA88akpS76eL6nupjjivbe5NwEQfjo4n5m6wHb3J7c2e,1680165344,inc,32.08,61546.62,61578.7
4Co1FBLhuUDvb2vJ4Z1z6YtBz6z9eMQmJ3t54G1DYTAMNqJLCJH4wDFVFFjXHT491pZFrnqp49tzJ4qxzL4hG1vC,1680165293,inc,32.08,61514.54,61546.62
3QNC5ALx7MANa7dpWiKQoxvtZxL8xPCMSUHyQmjEmHZrEnW3WApHDPLQk1CsN2msk5NP1W7Q4dA5E32iihHiwXwQ,1680165280,inc,32.08,61418.3,61450.38
2ciDAamnqbKrpuR5JnHtrV2x5S1qWUa3MWddFZxEAnRwPicjb1Wdv7iNzUTWQ3RR8WxmmnHbkZEn3LFJ1yPmuYPK,1680165280,inc,32.08,61450.38,61482.46
FEUk8dp2xFqJ7eQMCyLxc1FBcAcAHs4fToZmaLVGG7jjNWkANsmCnnGXe7iMoaMxC6pFkmxygzW5g6xrFjiosqT,1680165280,inc,32.08,61482.46,61514.54
3YUKRj5xEFyEEiZ5EcYKJgVqz9Sy3sQXjkvNiVMtrZ7RjnnSWUrtWRBpKLBbUVJHY6xxj7ChUfoPCL7vULzF1mPc,1680165248,inc,32.08,61386.22,61418.3
5e7PDAgChEYr4DykMRH5VGucBmqfskpXWjNEd2hY7qxnJP1XBcBsPaVG6jXs4sxzPVYaE4VxbejahEdiMaDsM34C,1680165241,inc,32.08,61354.14,61386.22
4SmNm2vVtJT8xb72Cj7knmhpwLULZEgmx7Ptqeiab15Fa4rsZ8KnEFZq2PZ9mwPPgUhD1ThihRctZNt7kyCovvEM,1680165236,inc,32.08,61289.98,61322.06
AvBrT3nZQCdScPFRGeB8yDQKttaJaeDABvbs3ncef35CKcTwB2eHLLDJWUV3xBGHBDwC9SGcDJXcfVbnn9GZqWE,1680165236,inc,32.08,61322.06,61354.14
3U5ekL8vpjw6RGp532hMa13hGKm9ee2H5F2EnMdgtn66BnnHBrcvSzKQLeDaHPnJNcskmGeMqpB66WXhU2GZj2vj,1680165190,inc,32.08,61257.9,61289.98
45uAmzCnbdABbahNgRepP59ZAfX5LfJfEE8YbrjzuZuMPax51fcJGszeW7dRN8K4ywF3wAnsANqYMGHX9VWaQzKi,1680165177,inc,32.08,61225.82,61257.9
gY64EjJ66HmSrJapxuLVKgQiJ3iKHXrtu1Czd99x4BeroU9j61MtnfQR3yEwDsYS79ViK1CKv4dCXuLdJUD7Pmc,1680165149,inc,85.46,61140.36,61225.82
43ZFnthUevjxcrGdg7m3B7UeNJMgcQ7vFtBPDqHbZPPrE9tFmfw1j9kc5u2Fsm54oQ8dTfbbR418U8kyFfJkL6xJ,1680164825,inc,32.08,61108.28,61140.36
ntJn9hCf2o5LcjeLxNVnESo2jyaJiBneghJshZtThh2pEyNrDQ1UKHFoB8iJ5LRwwFLeVCbu5hFJe4HmVwFzrRj,1680164814,inc,32.08,61076.2,61108.28
3b7WpnWLh2EmP6PR5eMomeQmArLTE5KYHrGEKBjheDkZzdi7mR3Xaqvm8UvBUAs4zidWFUovtHHCSwSmVxPY8ib6,1680164805,inc,32.08,61012.04,61044.12
2youz9RtYzAA2YK2mVhRLtmy5YGFzuPRYDL7j4UrXpvR1qasdBr9S7UUV19b1LibUC9ZiPyffLosYsBP4Hp2xyxq,1680164805,inc,32.08,61044.12,61076.2
5u3vA3k5CQpUNP8znjQBWfB6wzAQy8w4DfbduHUKMWum21zNy31ACVW33BUCXo5zQwopU2fhKXtjPBUY3ehC9BeC,1680164777,inc,32.08,60979.96,61012.04
3eGv1FRbWoPf6jHHLrWb4EVSbJ5V9FXRouqrZADRgYdFmA5FW39c4TQ2dqVuFrzNfSFm2qmFQb8zrBvCrLDagoWT,1680164661,inc,32.08,60947.88,60979.96
4fkiF2FJFrvxut4XxCEDni4TyxQKqYe5dtGhmCmVq8Q3qz2scFk7iUFsrqHRae4ZEKmGGabn5uNGm4ggUArdNFEx,1680164651,inc,32.08,60915.8,60947.88
45ECuB9yrxurtWE2j2yfqQybTRh9mj6RRarKzjtQcd62uYMLCfpgcrcoiHNGakC2p75u533YQBWDcZ9TfADc6yVW,1680164471,inc,32.08,60883.72,60915.8
3Ta3ogo2T8HhBWQkGC5tKKaNoXyT6USztMUJ9T7kRmNbMUwFAKbyGihod7q6VX3oxDotGHKoAGhn6LnbGV9F4AXZ,1680164409,inc,32.08,60851.64,60883.72
