txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
2TtbJNFT9RYrZZFs1p5ysByucCww5XiJnngLSCUevyx7HhmKTuQ4GnMKZ7NT4YJDFLKjdBickmaUhxFAPjqy2vBo,1680162410,inc,0.008746,0.054723,0.063469
3UXNmsSmNBdtLnToZ4dt5GcTdEnrBQaiimeQpBubQBSBAvEFLRcWYQzmArxWJzeaQ9nm1jUbrtgacUuVpcYNs3qc,1680159727,inc,0.000768,0.049447,0.050215
2GcWuggvKYmFD91GkUY4KzM5FSYNHmEa3PmwJwMCWojSbGi3ZQ4wxVp6BwQHjDCc8TeKW9Sy5bnsZSt6BevDZ8E1,1680159727,inc,0.004508,0.050215,0.054723
3j5xaUmAYuKopf4aDsGFWDSRsbx3zUDGMrbEjvC5VMmVA5co6LrBZVZVodvAfkvjsVcG9jWkqn81KfFkV9gNnPrd,1680157279,inc,0.005491,0.043956,0.049447
3CtFLHM2t3qYNRW68TygPUDZta8yHy39z69Soo1oUBsCpPi51ttLSKhrzgdqehHYJofhYRbZqSyaZLcu3VVagSHy,1680147647,inc,0.005365,0.038591,0.043956
2vXELkAYwviu5SKkTaBG2V79GVR2KKgLCaXMviQdBDG7GMMrhDXwhZL8xJiVn4YyYYi2bLCGDq8iWDswkNiaDCmo,1680145868,inc,0.008492,0.030099,0.038591
4drNPdsmFc8oxBgn8xH6sZxRFm89UojeXMX9EwxVCZnxYhC6C1mEugspq41tN7bFJPuisUqmMoAF6gC16eDRNdgX,1680145844,inc,0.009006,0.014414,0.02342
5p4NQ67gsSKMvxhc2BkZWfVQbHbMG4HPGg3GGis7Mnefy121ZNb2f5euPJf8nsYVmMntcxVgqEGzQNScgei8jJ2H,1680145844,inc,0.006679,0.02342,0.030099
3bFZP3xoZMojmi617VqT85YZ4Fz313StzydbReSicL1ykFcZjMZynSw7ptHRwteqrvbjnx5kbETiabkpi4k8sABc,1680145840,inc,0.001574,0.01284,0.014414
2HPB6QicuCQGvzhNeaRDUJ6JmnYZmXmHkb34vyz3G8Myx7dQeK5wRFwDjQheGX1fjZUWCuQivYWgbAfaTSYBB2qz,1680145836,dec,0.009058,0.003782,0.01284
4yVn54dxSTcYcYWLeRa9uyqczgXrs9heZhq7ubvFMq9aq6VJj4tUFYhuSjh1xywnzdrGn3B3ZCG8P1jYG4Ww3yTv,1680145751,inc,0.003782,0,0.003782
5AuaF5g627iYkxwbE6mQzFBzGevDM8kqsCmpmRaX7F7ABifkFmz51prkZXHmBt2iyRTZTgXSpqwAChABMTVtKidM,1680145689,inc,0,0,0
