txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
2TJ5YuUjXCjAXbKA7RMU1rFuabzGDRJCyKw8WFhQJSN5Wa2b2bU9bLHPtiuVt14qhWg7zxthz3jjtwqWUkEwJrpU,1680185398,inc,16.033457,12214.917729,12230.951186
2ZSid9iUuBSkWa6pecBT95srZC1yDtajZSCuayvc9Z5vn2u3kMMZZWWsBXzMFR2vSHRHUKhVTHcMheuEcn6aqeLU,1680185398,inc,32.06,12230.951186,12263.011186
3koZuHc8WSHorG8N8k1MBWwQ9orqshsQ54dDYDee4o9UnVMHwir1Yqda2ZQfDPhJUEgaBtGieXemvvNcezC4urH,1680185397,inc,214.85,12000.067729,12214.917729
5RyEaF4Qb3wPQDvAcyt2AbiAgo8B3Ad37QtuhApqSFFj1xH3oJzaGSq2sN4AX96QpRfro3YeyuP238dLWwKTrtBQ,1680174398,dec,2820.25,9179.817729,12000.067729
546UGqyP1rcTzrK2QkzMvnSdfHGtur7WNVh6UcM2u39EVABPS7vJRZGwjiwDVHqReRcm4ToTF3Yt2JmtCYLNfoYd,1680174365,inc,0.256613,9179.561116,9179.817729
4TWk9tP1iAJabHEntBiuFtUVLGaygaAta3yeMS1mdpQX4YhiXfLuSbMP4Q1gYtsp7SP8a67Sv2AEksgpn9xkaNUw,1680174345,inc,-3214.330843,12393.891959,9179.561116
4y14VckW6nL3XYUyxwro6eoVWPfoE5h29m5uo2kaeYhQNRZv8NuqV19McQJwS1T9gWmYdQV6cDeUihyL7Bs8bWLi,1680164475,inc,7.055031,12386.836928,12393.891959
mxdj3ptuHLehEQKVNa2EUe9uE2NSLzrRtKJKyzUh3quhTt3G5jR8APRgJSzj3ZFhQq3MRhRax9PHzejubo7tq8a,1680164300,inc,32.083233,12354.753695,12386.836928
4GSsELipNmW8ZhRQVXKM23KLzDERbnvvk8d7d5RjMFtVqCPodQUYfzy1WMX2eKi4yTTz93e53Ek3MtnNp9XDB5XU,1680164028,dec,-32.050296,12386.803991,12354.753695
2hWJxquDauMhE3UU4Z735128vZjcYzZy2xYT6f475Sk3U1CA9Hr1XNcmY9MgbyDdB5vPcrRG1bp3nhVWALJsEoLu,1680163744,inc,32.089467,12354.714524,12386.803991
QmZS6oLFGPvStzpo5z3NZEGNqYdAqEbugjW5KKG1yg9RrQTEkxmg2MJjLf8KuaBtZ8WhzrpVYqSQXSuqFrumjyr,1680163715,inc,32.086956,12322.627568,12354.714524
5uNkJ7NScnjJjHLa5icN1jVjkmntuYJC7PPAz5ia6ZWv2E7veuuvMJn5ezr4KpCyiURQBex9ZZWz9HHqMAMYD7aZ,1680163114,inc,64.688629,12257.938939,12322.627568
5Nn9morDq8hoBg1moYT9Tc7eZNgYekbS5EocDQtydHZH7abWgB6Z6aXPmiih8ZaL9qmGeT1iZwxPQQBMbdVx13pi,1680162696,dec,-51.263426,12309.202365,12257.938939
2giVVGWfjbMbZ34CtEnTuRbBDPwMaoYANC9JUY9VnUpbwofQYeRYtVH252hAm1HsreyrhgParXhR9PLSRjV3vXVJ,1680162687,dec,-4.525153,12317.514355,12312.989202
gUpS4VgsyLsjhFbPFRgt7rMT5C5knX1L4YEc1VdipeNqHgTXqKQSHRzPCcb9CdV48a4Hi1TRRs5UTnsTWUkJwks,1680162687,dec,-3.786837,12312.989202,12309.202365
3CZedKUvNiWvrCjD5CLzkzYU11T1DiMiZJDf4bYYNk9btpZcDLsDt25yvLCoNQ1rhE4uuepcPbBmUcSNobDdUVH2,1680162410,inc,51.327653,12266.186702,12317.514355
h3xHCfTgNYmZJTZY4UuS2KsPb7LRov83MUVSEEZf51NjM5yvnU4xUBzXbya36SihYtpaJCz6QByxMXGF1cpFCiz,1680162240,inc,48.581435,12217.605267,12266.186702
2pkUuJATqtBXzkfdDwp3MxfUTkRGDZ3wUAa3GdgXnJwDumQT7pjEB3evDEw3PowaRR6UwxWg9tq9iEevuCFoaa4o,1680162152,inc,32.211342,12185.393925,12217.605267
56RpP3VUwvi6awRSG8gBTnrrnb9KPkbaUTLYGnpzcZCrdV6p4yrowvc2TCrrQtfNVZTvSZCtxyykARauSA99aZYQ,1680162129,inc,51.298676,12134.095249,12185.393925
oJ2KXJNh3QTcwL5o1hYCK3Zy3m5Qd2ZsU9C5Jh1ASkK6MmgCZB8vLcdirfmmL4NP4hCnpBqyUP6VsbS8hnqmTyk,1680161787,dec,-64.050591,12198.14584,12134.095249
5R8Z8jXxHMyejrj5P1fo3hLGzMJjrbabNzcBzxdZjbygv3Kd2TCHCPCfKRKieSXNwgQu3sB6japw4rFgDjXvqjcV,1680161755,dec,-64.066251,12262.212091,12198.14584
v62BwpMMUKCa2ZKuwExLNifhpVkdUuXao4oxC9kqoeyEi48EPhaeAYqnBcmr34aQ395jnPdKnm3dX9G9tDbRKBU,1680161736,dec,-64.081917,12326.294008,12262.212091
TD2HvWNwrC3V2SEvXUdHx4jv2ViPST1CpbLmF3eaqY6uqdgjFme4fEKTfhBti8a6Uy6G5juqMjSVJSKVHNdstWS,1680161292,dec,-64.097589,12390.391597,12326.294008
2BE9eRoT79cB9jBwDX6orEpTxccL5U5VQdVpUACAeojwwx4bezPko38c7AsBUHEz4Fa4iSMVk44TDtL2XGuWrQgz,1680161280,dec,-64.113266,12454.504863,12390.391597
2XvtKpvQVhFebowEVq5ARTa8Ftr7MZdTQGFqgF54GuaX2fdqo3rSmsFZkx8XQy3coqVs6BqpcmpPZ2aK66RFi89t,1680160863,dec,-72.757055,12527.261918,12454.504863
3MbhQR58m4vTQKp17LTK5WEs7DTac5H3CCStQm2L7cqqCrcZtdFdgRQ7QThj3jbh2TeTQvermRKY3hyC59SNcxuP,1680160813,dec,-51.889104,12579.151022,12527.261918
