txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
546UGqyP1rcTzrK2QkzMvnSdfHGtur7WNVh6UcM2u39EVABPS7vJRZGwjiwDVHqReRcm4ToTF3Yt2JmtCYLNfoYd,1680174365,dec,-0.256613,17869.310363,17869.05375
JLqNWvbM9v4kukKD2fGnEUZ4YERebuURp8gJ1mfGKDGvHzb4NtojQ9hpnuNULWBnH6pgMjMoxEspfYbHyxCCysD,1680165559,dec,-0.642192,17869.952555,17869.310363
2JhxBs8GCtmEQKeinRueJftPr5zXuuYsSwDKohzfQXVK4Bqfh2zUW8egGL4g5VbXJy811Bz1FnaXyp1D5avb8Sz8,1680165409,dec,-1.927907,17871.880462,17869.952555
b1y4vkMXSnUXf4u82uPF2imgNQ9yjrBM2B9PbkNgMnRmQhFSEkFoKdDzubFku3V3FzB4nN8TuN13PnHmcHCewUU,1680165364,inc,48.523559,17874.689719,17923.213278
3dvP5v64dHvm2hX4rATahpPMwicB8wRRdq2Gi2zAje3QTc2zWoqGcXYyv7seW9zPZdyHQZmK1aEycBivTuqom7Bp,1680165364,dec,-51.332816,17923.213278,17871.880462
5YJJx3QZCxLHa6DCAw7kPooyiDiWqMbS8PSP9v3SgWeuKA88akpS76eL6nupjjivbe5NwEQfjo4n5m6wHb3J7c2e,1680165344,dec,-32.084805,17906.774524,17874.689719
4Co1FBLhuUDvb2vJ4Z1z6YtBz6z9eMQmJ3t54G1DYTAMNqJLCJH4wDFVFFjXHT491pZFrnqp49tzJ4qxzL4hG1vC,1680165293,dec,-32.080012,17938.854536,17906.774524
3QNC5ALx7MANa7dpWiKQoxvtZxL8xPCMSUHyQmjEmHZrEnW3WApHDPLQk1CsN2msk5NP1W7Q4dA5E32iihHiwXwQ,1680165280,dec,-32.089946,18035.111351,18003.021405
2ciDAamnqbKrpuR5JnHtrV2x5S1qWUa3MWddFZxEAnRwPicjb1Wdv7iNzUTWQ3RR8WxmmnHbkZEn3LFJ1yPmuYPK,1680165280,dec,-32.085595,18003.021405,17970.93581
FEUk8dp2xFqJ7eQMCyLxc1FBcAcAHs4fToZmaLVGG7jjNWkANsmCnnGXe7iMoaMxC6pFkmxygzW5g6xrFjiosqT,1680165280,dec,-32.081274,17970.93581,17938.854536
3YUKRj5xEFyEEiZ5EcYKJgVqz9Sy3sQXjkvNiVMtrZ7RjnnSWUrtWRBpKLBbUVJHY6xxj7ChUfoPCL7vULzF1mPc,1680165248,dec,-32.082771,18067.194122,18035.111351
5e7PDAgChEYr4DykMRH5VGucBmqfskpXWjNEd2hY7qxnJP1XBcBsPaVG6jXs4sxzPVYaE4VxbejahEdiMaDsM34C,1680165241,dec,-32.083314,18099.277436,18067.194122
4SmNm2vVtJT8xb72Cj7knmhpwLULZEgmx7Ptqeiab15Fa4rsZ8KnEFZq2PZ9mwPPgUhD1ThihRctZNt7kyCovvEM,1680165236,dec,-32.08093,18163.43884,18131.35791
AvBrT3nZQCdScPFRGeB8yDQKttaJaeDABvbs3ncef35CKcTwB2eHLLDJWUV3xBGHBDwC9SGcDJXcfVbnn9GZqWE,1680165236,dec,-32.080474,18131.35791,18099.277436
pThk9rrYPx7ath8oRbGy8DmvPgUC69ZzPhiKiAwA7D72tZoxXLT9wQQnHyzmKz9GK6F66xm3ui1UbhPVhUrmRps,1680165234,inc,13.416124,18150.022716,18163.43884
3U5ekL8vpjw6RGp532hMa13hGKm9ee2H5F2EnMdgtn66BnnHBrcvSzKQLeDaHPnJNcskmGeMqpB66WXhU2GZj2vj,1680165190,dec,-32.083782,18182.106498,18150.022716
45uAmzCnbdABbahNgRepP59ZAfX5LfJfEE8YbrjzuZuMPax51fcJGszeW7dRN8K4ywF3wAnsANqYMGHX9VWaQzKi,1680165177,dec,-32.080424,18214.186922,18182.106498
gY64EjJ66HmSrJapxuLVKgQiJ3iKHXrtu1Czd99x4BeroU9j61MtnfQR3yEwDsYS79ViK1CKv4dCXuLdJUD7Pmc,1680165149,dec,-85.466094,18299.653016,18214.186922
61TFtW1WZUiKkbYdZ5tMXWsQBDB3DdhCvugsC2ixNCYo3jRaFGAAruXeAvCP2EepZ29jk9RzbbzENcWzYJKzaLHB,1680165054,inc,7.181108,18292.471908,18299.653016
43ZFnthUevjxcrGdg7m3B7UeNJMgcQ7vFtBPDqHbZPPrE9tFmfw1j9kc5u2Fsm54oQ8dTfbbR418U8kyFfJkL6xJ,1680164825,dec,-32.08311,18324.555018,18292.471908
ntJn9hCf2o5LcjeLxNVnESo2jyaJiBneghJshZtThh2pEyNrDQ1UKHFoB8iJ5LRwwFLeVCbu5hFJe4HmVwFzrRj,1680164814,dec,-32.083692,18356.63871,18324.555018
3b7WpnWLh2EmP6PR5eMomeQmArLTE5KYHrGEKBjheDkZzdi7mR3Xaqvm8UvBUAs4zidWFUovtHHCSwSmVxPY8ib6,1680164805,dec,-32.085,18420.80445,18388.71945
2youz9RtYzAA2YK2mVhRLtmy5YGFzuPRYDL7j4UrXpvR1qasdBr9S7UUV19b1LibUC9ZiPyffLosYsBP4Hp2xyxq,1680164805,dec,-32.08074,18388.71945,18356.63871
5u3vA3k5CQpUNP8znjQBWfB6wzAQy8w4DfbduHUKMWum21zNy31ACVW33BUCXo5zQwopU2fhKXtjPBUY3ehC9BeC,1680164777,dec,-32.081917,18452.886367,18420.80445
3eGv1FRbWoPf6jHHLrWb4EVSbJ5V9FXRouqrZADRgYdFmA5FW39c4TQ2dqVuFrzNfSFm2qmFQb8zrBvCrLDagoWT,1680164661,dec,-32.081033,18484.9674,18452.886367
4fkiF2FJFrvxut4XxCEDni4TyxQKqYe5dtGhmCmVq8Q3qz2scFk7iUFsrqHRae4ZEKmGGabn5uNGm4ggUArdNFEx,1680164651,dec,-32.08146,18517.04886,18484.9674
45ECuB9yrxurtWE2j2yfqQybTRh9mj6RRarKzjtQcd62uYMLCfpgcrcoiHNGakC2p75u533YQBWDcZ9TfADc6yVW,1680164471,dec,-32.084396,18549.133256,18517.04886
3Ta3ogo2T8HhBWQkGC5tKKaNoXyT6USztMUJ9T7kRmNbMUwFAKbyGihod7q6VX3oxDotGHKoAGhn6LnbGV9F4AXZ,1680164409,dec,-32.083108,18581.216364,18549.133256
2UuLXfXjdQ8VNTGaLTYWCnBUVdVMQkc1EATbcRzDCmzhT1UDry1ueGShfH7Zyf197bZWe6hXC8kLaeZHiPaTs4aC,1680164396,dec,-32.084064,18613.300428,18581.216364
4kYpBXuT7Wfp5uhtD3wGUntHyujQsQGmYKe7oj5QVca6FFj6hTcr7umjkVky7wYRbc9b6EV53MhrEvu4Awepuhvt,1680164357,dec,-160.394476,18773.694904,18613.300428
27vXg7HVZ3zZmXm9Q8BjQETrFm4bSRWtfUL3Givv9XM7zLNubzLywJSjE9rhL3Dx9EhFfJvDNMUdaW76JWrpyiQ4,1680164300,dec,-32.087224,18837.865361,18805.778137
mxdj3ptuHLehEQKVNa2EUe9uE2NSLzrRtKJKyzUh3quhTt3G5jR8APRgJSzj3ZFhQq3MRhRax9PHzejubo7tq8a,1680164300,dec,-32.083233,18805.778137,18773.694904
62gqq7NkptqC6dTAs5SwQiVoGyp4eAa6vzQcLUdbY85WBt7bBdkxVxaGd8JBuyJsd2bnZDKFoM2yfSMSYqmr8s4i,1680164299,dec,-32.091197,18869.956558,18837.865361
84upKNTBKuxZx9c695eNggALbCfYF9fjveyeezi1bJFSKjRdjnJ2AhAz1ga6ezTrSgPb855ye77mCe2r3W2FLgh,1680164165,dec,-32.076041,18902.032599,18869.956558
5q8zszSVCmGoPX3pWP677uFq9xJ5gMckFwcpASxkiFQLZCAdv7SKNQVHTuwHSR9byZpgz1QZY3BTvFSEqqg5uGUE,1680164159,dec,-32.068542,18934.101141,18902.032599
4Tz91b7uYPp8oS3noWhoCWuxZRBv34Z6gYxFTDHGJFDgcVcpZpv3tnkCT6hztUCYUooGNjgWUPfftkodugCr2kU5,1680164150,dec,-32.068688,18966.169829,18934.101141
4GSsELipNmW8ZhRQVXKM23KLzDERbnvvk8d7d5RjMFtVqCPodQUYfzy1WMX2eKi4yTTz93e53Ek3MtnNp9XDB5XU,1680164028,inc,32.050296,18934.119533,18966.169829
63j4eQdKPiBasjw9dB6HndVc1nPXtA33C6iBVj8j1ovoLyZWhXeFtr3ErWYikdUQ2fw6xetPox1wNXaGsP15xypo,1680164026,inc,32.053864,18902.065669,18934.119533
2JLvNXSJU3aWduLMQuBDhAXR1hnQJE9wQUVydhRPNqBedUNAa8274FgJaxcLTMAjhDcL25tQX1BQH92zc6eeEkD7,1680164025,inc,32.065961,18837.939796,18870.005757
4cJkJrBn8XbF2eh3TPQcSmzeFVmthAi2umqEr2pj55azk1Y8uuAh6i7MDedRPCZRxTdpsJY1hptHSWBkLyvZdneS,1680164025,inc,32.059912,18870.005757,18902.065669
5XJ4H4f6imkLav1JmqLXb5GMHFCz9mjq6wyDWUzjoURdnwpmZbC8kotSi3PUTATarZcY17mX215K29JvPAaRcHgX,1680164023,inc,32.072013,18805.867783,18837.939796
4nqoMrL1wHxpymM3MjwT85E9X6M2LGr2r8LqeG5ML2PQVu1YFpyEGtHPMwTrwEkZFS7sSLVEc1Zc7ehq963M8Jya,1680163973,inc,11.288486,18794.579297,18805.867783
2neExZftMTBXaDNPVkt1Hab892BCcpKZ1ZKhGqiUhGhfwtrQGwuHmu4dR1EGbNTt9Y23JtiUK4ELM32qhgvhUW2X,1680163827,dec,-32.082841,18826.662138,18794.579297
jJVPkzpfSKCyUWfU72rjW1D1CsVgHppDVqYWfvLdrsyo97pUJ9zXsjhJTpcSWkujz2nptgGmnUaEeokkbQwSFZi,1680163823,dec,-32.08367,18858.745808,18826.662138
4WpMdser68p2AU6PsQ3oScb9SXPe6zmGVYcNCFUgUDYcdm4mjqmbWoJ4P5Sr9y1NcZZkJQaW2WTsfvka3BBYnYkv,1680163820,dec,-32.083606,18890.829414,18858.745808
L8QQRyTCxpykJftVTrfocJSFpYKp7N9JtoYXirau5UxFfg4M7u18iwwExY586NUytbxxTem97HDHsMvUmuUMK8Y,1680163748,dec,-32.081996,18922.91141,18890.829414
2hWJxquDauMhE3UU4Z735128vZjcYzZy2xYT6f475Sk3U1CA9Hr1XNcmY9MgbyDdB5vPcrRG1bp3nhVWALJsEoLu,1680163744,dec,-32.089467,18987.086257,18954.99679
62kFuwf5ZmSy1vhzWGPr2kP1R3kfnXhJHbUdY81nir3Wz5SUPkrmfwA3m1ZZtY6hwcma5y2nNBp4dZHexPb9Htey,1680163744,dec,-32.08538,18954.99679,18922.91141
UgWw5RvTzBDbR5BARtdiKo2JLx4BiJMkdYZygSBADc3Zc25gd2Ch4X5BeQAhRaCxnLwaAfv8PDz2axmCwbmzD7U,1680163741,dec,-32.082615,19019.168872,18987.086257
4Zn7zReRNAfFMF9WybF9VzqUmvJSrKVKmQVk65X2a9ATauFYNxYFSjDyZL6tU5T4NCGTvmHYZkq8RBEbcMrxeyN8,1680163715,dec,-32.090945,19115.429738,19083.338793
QmZS6oLFGPvStzpo5z3NZEGNqYdAqEbugjW5KKG1yg9RrQTEkxmg2MJjLf8KuaBtZ8WhzrpVYqSQXSuqFrumjyr,1680163715,dec,-32.086956,19083.338793,19051.251837
9dyUKUFnGja2AZ7gMFePrBJN4hSEVAis8MZ8EMeGC4MnXcWuyHxaMxseZAWWTAkorbKxVNQCjtJTUh2wM7qvsJU,1680163715,dec,-32.082965,19051.251837,19019.168872
4wNQiQxmoET8gYNvPgGwnBUoJU8kVZzidyHccngmea8bmH6yKBuUbjr8CCUdLgyG9jj35deZksEkUtLuVfj17BzA,1680163673,dec,-32.075841,19147.505579,19115.429738
tHmhADD6EDiyykFim8g7Mxvxxmk4JtdFTUx33ukabxiDNG4jGfkQbiDU6hfuWbi5dz4CwS3zt6nZpsEmam2C3Ai,1680163587,dec,-32.070798,19179.576377,19147.505579
3iWViwfuiaP97ovK9RBWbrKo8FqaWwEpsyxo78p5rWkYa4AtpT7Qv9Aja3wQsKkJ6FUrbfT1CcoB8UumhUPsGCRJ,1680163579,dec,-32.0713,19211.647677,19179.576377
2XHErzff2gHbA5xU2g9bkf7KyaQBz1JVkcvd1QC9UrdD3sgsDFxzagxJ9GKKKzkTxJ5ef96XKAgxmorNezjmtnc7,1680163562,dec,-32.060229,19243.707906,19211.647677
2qnTpVDURBt9GjmT4QFGiy526PDSXj41yDYDZtqHprnCay5gZwSHGZ1sT8QDNLBGUyeRRZh7qtc5eBWZS4Npvwbk,1680163554,dec,-32.051792,19275.759698,19243.707906
zkLyMVURSYeJdX4DnNZZKJpkhNHsYvbP2e7vNrtiGMYEQYVj2eUfRVytBk27awBaaiond8VJTfaZgHmz5qaZe6W,1680163536,dec,-32.046976,19307.806674,19275.759698
2hhe2ya7ntMbQEYb3S292SibeU55FkfG8bcnwicA3qJQeZWKKRBsbAq8yz6HoGfvjeqLCbz4rUq4WxPGq4mSPMuk,1680163381,dec,-9.678324,19317.484998,19307.806674
3KBhD8aaiJ3g2JyFHv5zYJ2oKzZw2JzgEmFmy76BfpmuKaG5fkDcbEga1934LvKLUf8tgkNxuVUUaYBwQJvj5zNY,1680163365,inc,128.218272,19189.266726,19317.484998
2FffnDnPSgQqHSVaxzUhQgDDnnD9w7CZLdF88HHwjasRfuKmtA5rNpAhw6oXLyEFoxtMAZyfujrV3kaHaPzuaeNH,1680163362,inc,32.06021,19157.206516,19189.266726
5uNkJ7NScnjJjHLa5icN1jVjkmntuYJC7PPAz5ia6ZWv2E7veuuvMJn5ezr4KpCyiURQBex9ZZWz9HHqMAMYD7aZ,1680163114,dec,-64.688629,19221.895145,19157.206516
3MmsszwRVtXWVkC8mt53vNeSNGRoTenhxg9esfWGy5ujYPseSX4YLhRXugRa5iyJjdzqBYMoi8SbQth5cxaDdxv4,1680162971,dec,-32.069917,19253.965062,19221.895145
4FrG7mLWLsp2R4hxeX7JDUKCxacSxBimqAFbqBCeB3QnyjYoHsjDcufBxmewovpUZyZRdTjhpS8UtzL89s2pwLSt,1680162926,dec,-32.062434,19286.027496,19253.965062
uBF4UhActtXuAhmQMfKtcaM5VuwaLtqNmYq5HxJyDgM8JCCKPGEtyHMP8qbLmkG9TrprFiXTaJv66eBeoz4Rv9r,1680162913,dec,-32.054932,19318.082428,19286.027496
3sZwEEnAzJpwbQnLZdnVAQS8g8wmRhgwLZbNRD61Au2zKd4Xy1DVKersRKp6kUctw5SKGu32dzcpSSgfim2E3o2U,1680162873,dec,-32.051293,19350.133721,19318.082428
3YKNLY14ttc8s2msVuBzpSnPgkzveMeRevGiiyHUfpY6KsAfxFNcbLKQ14HS8NeZj6RLWGNPpARY6Sfb63khjH4n,1680162822,inc,64.09,19286.043721,19350.133721
5z7Nz5Aq6qZqa3c36j42mp6fWwHWmB4Co1TU1GEGYMSnc8aw5fsY4C5mXieVgn8jUtahuD3xr7y3ZWB8iEbrj2At,1680162818,dec,-1.92525,19287.968971,19286.043721
4PCMCtZoZnsMzLYZSbJpoP2G4h6vYbEtA5WVcRw5ETihfJa5JEj7yvH6E6tnm2hzbx85216TM3afAozpFqbzC68w,1680162812,inc,64.09,19223.878971,19287.968971
3Ec32RWZsJw5Xm1NpGmnAQ1vV8DoSNrocpB8BDpMDY4vX7HUMZRApYZtQpcKjnAQS9rJeAJ1YtbZZiCNqY59qrgH,1680162751,dec,-4.043606,19227.922577,19223.878971
rU3KmxbCM9czpH3wX2DcAE8XRxGfhWzjgw142qtWxiib7wVdKHGWbq7S43N97H76kD3BrXG7hCNd14nheUvCE5e,1680162714,inc,128.23,19099.692577,19227.922577
5Nn9morDq8hoBg1moYT9Tc7eZNgYekbS5EocDQtydHZH7abWgB6Z6aXPmiih8ZaL9qmGeT1iZwxPQQBMbdVx13pi,1680162696,inc,51.263426,19048.429151,19099.692577
2giVVGWfjbMbZ34CtEnTuRbBDPwMaoYANC9JUY9VnUpbwofQYeRYtVH252hAm1HsreyrhgParXhR9PLSRjV3vXVJ,1680162687,inc,4.525153,19040.117161,19044.642314
gUpS4VgsyLsjhFbPFRgt7rMT5C5knX1L4YEc1VdipeNqHgTXqKQSHRzPCcb9CdV48a4Hi1TRRs5UTnsTWUkJwks,1680162687,inc,3.786837,19044.642314,19048.429151
4j2CANbwqLQ6z37sA8vNgMEuRS2Pyg52pYfs79aZoTLsfY1awenJrydgqeSwRxRAwnCVMU7FTeE9B9vmsypgii19,1680162675,inc,51.268407,18988.848754,19040.117161
5rNq1yN2VW223HX98xm9AWkJT7LZpqGiw1KhiM2TDrWy4uhfL8dZrjYePJpYgFtwSg5JFDGyXgvjPT8TNLoQgSNz,1680162654,inc,102.58325,18886.265504,18988.848754
585xxvthCWkJ4fnKyS21q2Xg5BNfTZmVaf7kmemSUEGgXnYP7AQv2RxSHsoB5Exet44C5f7EEAng7ZnWWfDxsw47,1680162636,dec,-160.424663,19046.690167,18886.265504
5Z1NPfuy9uno4ewgmLoeuaLaczPL9BUwPw1wLNtAZg5gy825e1yzexQ5UpqNBLWjiv5FQFtMxT9X9RbadUxG6yBC,1680162493,inc,2.815654,19043.874513,19046.690167
7Hs5PYsZXXtnJeNWLaA1QAox4rqomXuTbstxsJ3brKaF5ijGxtvM6YwmbvHkGb9f4rahPCv6ARjyn6uRLMZLyE6,1680162435,dec,-160.424746,19204.299259,19043.874513
2TtbJNFT9RYrZZFs1p5ysByucCww5XiJnngLSCUevyx7HhmKTuQ4GnMKZ7NT4YJDFLKjdBickmaUhxFAPjqy2vBo,1680162410,dec,-205.398746,19461.025658,19255.626912
3CZedKUvNiWvrCjD5CLzkzYU11T1DiMiZJDf4bYYNk9btpZcDLsDt25yvLCoNQ1rhE4uuepcPbBmUcSNobDdUVH2,1680162410,dec,-51.327653,19255.626912,19204.299259
3qKnZZA6XyJpG9YrLE1pdnV8UEyhuMMCcWCAPxcC96LTSVZLrbVE8uAnkriQRxEGTimCa2c28LiYnUwwYALzZV56,1680162389,dec,-51.317024,19512.342682,19461.025658
h3xHCfTgNYmZJTZY4UuS2KsPb7LRov83MUVSEEZf51NjM5yvnU4xUBzXbya36SihYtpaJCz6QByxMXGF1cpFCiz,1680162240,dec,-48.581435,19560.924117,19512.342682
2pkUuJATqtBXzkfdDwp3MxfUTkRGDZ3wUAa3GdgXnJwDumQT7pjEB3evDEw3PowaRR6UwxWg9tq9iEevuCFoaa4o,1680162152,dec,-32.211342,19593.135459,19560.924117
5yaMRdiTv6JM75haHxfPp6PwKNaVmP5hWHVD1rZarYXmXddCQpMWD88uJZ2REUFqnhDbwaM5c1jWHGoLgZcVYsmP,1680162134,dec,-10.309134,19603.444593,19593.135459
56RpP3VUwvi6awRSG8gBTnrrnb9KPkbaUTLYGnpzcZCrdV6p4yrowvc2TCrrQtfNVZTvSZCtxyykARauSA99aZYQ,1680162129,dec,-51.298676,19654.743269,19603.444593
3sft1x1GbVvgoUmYsdUeBXVHpQWtX9yFhsG788ecJJyxwXhCGPZbRHvNUWwvqob2u8F2PUZHjdZTyp2AstHoMqaJ,1680162053,inc,0.473556,19653.703843,19654.177399
5y6TduVY6My8qKTCXPKr6bLeL8393PK1mU3Bi6Dzdo2dSoZ4WohAW3tLWEuKBWnJppEAxxdLmnMuvGQptuNjaiyf,1680162053,inc,0.56587,19654.177399,19654.743269
4WatoHkKrmG8CXYWUuJ7QCcqKayV87inqrbVLtnFNSghrERZ1msXUwRbP2BF4Gb7JXTCubYJCScueJ9ZwUVp48Zb,1680162013,inc,2.263673,19649.54587,19651.809543
5NeB3LBBpWPMb93Hdv3uW1eEVauDbJXPf1JwR2chvgiigQ7HfwNzCr5zDbK3R6SESdirf2V8tH8g6TSwTx9b1NYp,1680162013,inc,1.8943,19651.809543,19653.703843
35tDctQ6mbzrK7FZFX3qN3s9s9XxhW4FFovHoYMRTBjoPaZyd9SBPdX8fBrTmAwvGatqR8R4byVEjTjfniy4JPBH,1680161973,inc,1.131882,19648.413988,19649.54587
4uhha1GDyhToKB4d8CbMTb9TEKhAdLN8Z71nibsxuSEAqT1hXfZxCWKoMR6shcY6a7xadF5Nsy1pc6dJzckac6Cr,1680161971,inc,1.212597,19647.201391,19648.413988
