txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
3AcfdJViJgHz77rBj1LYxNHogN8owrD123CnEYx6BncXPhncruSXNP3QbVX7VqwtN4vhBea2vou5Fdv4ejy6tjDf,1679688018,dec,-149860,149860,0
EzRAyep8KPdSxpiCQ25FcxtDzPR2jS5t13p1k7Gx5UL9JQy9A3PpiQbjhuzc8LLunGjvDEPHcbtksngyC9PH6Me,1679687936,dec,-10,149870,149860
TKm1DQmUQYmTsEBJFSBbthAf6Emh17FQJrKQCcNCHzNLgG1QXpvFFio8bwfuEstjbvWVcYBsDU4vWmLYDzzMqeK,1679687575,inc,1,149869,149870
5hUJzzdurQvT59pDVLEsAh2hMwDC4SVj9uNmwH5dzLHUrcb6YmVGq3jdZvxH68HNTYVH6HoyMAMSfN2ZuGVgZuJq,1679685878,dec,-1,149870,149869
3uysDKDbdok5369e9ajXLokRbyVogAafNzx8KRjyHZwao1m1nJZ43GVE3dKhECuoP6QXCJymQyuMLofcj5o9UwEC,1679202129,dec,-70000,219870,149870
66uiZq7uEZfjYM9FnpXdXFeheqnf1Y284PyJdeBED7tFr1ExJxr4nbQ78KmsRM51uqVU4PY3WvRxm43rF9bfjYRA,1679201617,dec,-100,219970,219870
4edntjVfZYe1btHAFUsnxDHHPFr6oATGmYNs24yZksDMQ2EHxKMqddrxwDnsFVi4wxtrZVJQpXZYsMSYdTb6ngip,1679149004,dec,-10000,229970,219970
2W8CC6mrim4BJ752eR5VBh9Tmk4eNKYJRnaYsjMjcr4CULsfiKaZn3kvfgNUU1iLXxgaDySwaJGNtxfRiWPgidGu,1679148920,inc,229970,0,229970
2yS9aDrGLbAmrD9ajkfwtEX9vEfzSdnXc22fhCrYHK751tJ3uYM1tgQxEwPCEpJkLShvqhWjybqbXWktcwH58v23,1679148738,dec,-25,25,0
5bb2mmDFSkhK7doKEUX14UpHgXR2KbmF1pehScpFYeep9X7rLCXPstjobNJY31gcbK9rUpo57R68LFMJsoG1cz43,1679147687,dec,20,5,25
2KKqm1Aq43JbTXYjmM1wYAZSoDVA7YPD3DiTbwedv2t3ajHLjdPc4v5DGHPvE5u95DrhP9J3UPBw97c8ao73PyX9,1679076460,inc,5,0,5
3E71apE2ejde5x34tNMQdVBys7FJsN9dmhkZpj8nqTpCz7vFXAacranAZmngC59QhGkK5jUFy9XeZQRct8WC7Cip,1679076228,inc,0,0,0
