txHash,blockTimeUnix,changeType,ISC Balance Change,prevBalance,newBalance
3AczSiKRStdYogyGKe1zZrqsRtkzuFK3hyQdeu6RNtz27yq6YQEvY4oC5N1VDuAwccR7NmucVLUWysgswGm2cNUm,1680057930,dec,-3.21,39452.6,39449.39
ydoFKagVdm1r5g2FJ3fyPtkMbVwfFbQjFrDKMpreM2YP1MLVcDmzi4PDvvWyHgqtCUJrmKF9We6TQFDnhctFEsb,1680057462,inc,0.25,39452.35,39452.6
3BVjiRNRZzsHBYiyKTxXkwd6UBnpgng3Gkg5KhBcYS8UwjNqzeuMDpojmh8xEJc3hXWBus876VCdBRopeXtnDmUd,1680057369,dec,-0.25,39452.6,39452.35
A2PzxTpVLZCXwKt72234AKzxZL8iLqPoaYmu6URG5EGX34UfUW7Pto6MPYjvzDRSd8WujjD6MTiFoXsvRDgiyFj,1680054608,dec,-7765.86,47218.46,39452.6
4GNWbxtrYLCwX6ZF4FTMuZNEWyA3nFtBkQHsE4fQXanoMwk2YfgFCFrdvedc99PhSJ9Zo1omPGMHjM5DoQuoVaDk,1680054104,dec,-3993.65,51212.11,47218.46
3gwnRyYBRYbBUCw3qVFnEMdBBgnhtUuJPJGUspzz5axLZN5VswdKpTyUYxBTumCzNxU8uJvbZx9VyhPYyJs1NNFb,1680053339,dec,-4010.33,55222.44,51212.11
4PLRfJKFZC4n2S2gxmwrpEkM4bHEd6Am1qa7ZevgRHvy7eLqgDjaykesVdH56d6x8fJyJfGYJdUj2h5bZrz2VDvA,1679929604,dec,-15.38,55237.82,55222.44
3HzKQm6qUh2GicthL5NJYuyFxr7W278KZCX2jMmx2o1c9oUgTByvZBHuDiyreJoDvb8Hqi1tzVmCRwdPHn1Uer7J,1679927935,dec,-758.85,55996.67,55237.82
2hAjURtCtQn4Y7pZTsSanizJP1faM4ypsq3HET4i1AZNHmsWVcCFz15fMGWUnMSSZrYM5YjpsV5Tmsp1i5vo5dkK,1679927170,dec,-103.13,56099.8,55996.67
351ByFvB7W5LjL4WG87d4ih8s7y4NMtC5vuHR2PT7X1PW5mVinFKdGKecbe3cbKweVpXLabcBCHAk1nQMDNWG3VT,1679593088,dec,-57.31,56157.11,56099.8
66jdcqrSEVsGpuWV7RbrSTYZvG27rRYyqWLA4wg2PDEWpFc7C5GhoH9HEQ4gLogtN4GxKLBLUJHrsWrbzQtLwhMV,1679499676,dec,-1.93,56159.04,56157.11
iicQabk5EubXvDmbC24UczVfMRGkrWNGeiZ4CehzRyyCMQcAjgVJkRcRwNjhvfKXNSLWHxyxYmcaYTk5o6kKfjL,1679407880,dec,-756.78,56915.82,56159.04
ptPdovkmLQY8pHSeEcmhbsQAbZcJ1eJkiubiNhn8sQeKKJieECqfy7PsLfKF5DsMtwFbkeCfGjz7bLJfn7mi1gA,1679308245,dec,-100.5,57016.32,56915.82
